lat,lon,crs,tas_anom
-89.5,-179.5,b'',6.2708416
-89.5,-178.5,b'',6.2621584
-89.5,-177.5,b'',6.260767
-89.5,-176.5,b'',6.2647753
-89.5,-175.5,b'',6.264718
-89.5,-174.5,b'',6.260914
-89.5,-173.5,b'',6.2575264
-89.5,-172.5,b'',6.259987
-89.5,-171.5,b'',6.2581444
-89.5,-170.5,b'',6.2519217
-89.5,-169.5,b'',6.251189
-89.5,-168.5,b'',6.253125
-89.5,-167.5,b'',6.2472796
-89.5,-166.5,b'',6.249886
-89.5,-165.5,b'',6.2522163
-89.5,-164.5,b'',6.255146
-89.5,-163.5,b'',6.2571297
-89.5,-162.5,b'',6.2427363
-89.5,-161.5,b'',6.2590184
-89.5,-160.5,b'',6.260861
-89.5,-159.5,b'',6.257209
-89.5,-158.5,b'',6.2508364
-89.5,-157.5,b'',6.253106
-89.5,-156.5,b'',6.247249
-89.5,-155.5,b'',6.251392
-89.5,-154.5,b'',6.2511683
-89.5,-153.5,b'',6.244455
-89.5,-152.5,b'',6.243155
-89.5,-151.5,b'',6.2513065
-89.5,-150.5,b'',6.248557
-89.5,-149.5,b'',6.247047
-89.5,-148.5,b'',6.244619
-89.5,-147.5,b'',6.2384586
-89.5,-146.5,b'',6.2405314
-89.5,-145.5,b'',6.2445474
-89.5,-144.5,b'',6.2461567
-89.5,-143.5,b'',6.245873
-89.5,-142.5,b'',6.2475142
-89.5,-141.5,b'',6.2488685
-89.5,-140.5,b'',6.2501945
-89.5,-139.5,b'',6.2494698
-89.5,-138.5,b'',6.250941
-89.5,-137.5,b'',6.253786
-89.5,-136.5,b'',6.2487354
-89.5,-135.5,b'',6.2473354
-89.5,-134.5,b'',6.2468266
-89.5,-133.5,b'',6.246111
-89.5,-132.5,b'',6.2506876
-89.5,-131.5,b'',6.2490387
-89.5,-130.5,b'',6.2480083
-89.5,-129.5,b'',6.247586
-89.5,-128.5,b'',6.253648
-89.5,-127.5,b'',6.2630205
-89.5,-126.5,b'',6.2630076
-89.5,-125.5,b'',6.261514
-89.5,-124.5,b'',6.258937
-89.5,-123.5,b'',6.2539363
-89.5,-122.5,b'',6.2668443
-89.5,-121.5,b'',6.2624073
-89.5,-120.5,b'',6.267776
-89.5,-119.5,b'',6.2691536
-89.5,-118.5,b'',6.2703686
-89.5,-117.5,b'',6.268367
-89.5,-116.5,b'',6.264092
-89.5,-115.5,b'',6.267561
-89.5,-114.5,b'',6.269909
-89.5,-113.5,b'',6.2684417
-89.5,-112.5,b'',6.2722545
-89.5,-111.5,b'',6.2621727
-89.5,-110.5,b'',6.264967
-89.5,-109.5,b'',6.267414
-89.5,-108.5,b'',6.267913
-89.5,-107.5,b'',6.263265
-89.5,-106.5,b'',6.264862
-89.5,-105.5,b'',6.2573795
-89.5,-104.5,b'',6.255057
-89.5,-103.5,b'',6.2541943
-89.5,-102.5,b'',6.255413
-89.5,-101.5,b'',6.2557487
-89.5,-100.5,b'',6.260603
-89.5,-99.5,b'',6.2610564
-89.5,-98.5,b'',6.262938
-89.5,-97.5,b'',6.2605195
-89.5,-96.5,b'',6.2608566
-89.5,-95.5,b'',6.258669
-89.5,-94.5,b'',6.2603054
-89.5,-93.5,b'',6.2674427
-89.5,-92.5,b'',6.2689023
-89.5,-91.5,b'',6.260967
-89.5,-90.5,b'',6.2598825
-89.5,-89.5,b'',6.260373
-89.5,-88.5,b'',6.2625012
-89.5,-87.5,b'',6.263342
-89.5,-86.5,b'',6.2635655
-89.5,-85.5,b'',6.260896
-89.5,-84.5,b'',6.2657204
-89.5,-83.5,b'',6.2747493
-89.5,-82.5,b'',6.2742558
-89.5,-81.5,b'',6.2762194
-89.5,-80.5,b'',6.2725506
-89.5,-79.5,b'',6.273066
-89.5,-78.5,b'',6.277603
-89.5,-77.5,b'',6.278186
-89.5,-76.5,b'',6.2777324
-89.5,-75.5,b'',6.2771764
-89.5,-74.5,b'',6.2801247
-89.5,-73.5,b'',6.2845173
-89.5,-72.5,b'',6.288385
-89.5,-71.5,b'',6.2892466
-89.5,-70.5,b'',6.2887735
-89.5,-69.5,b'',6.2919493
-89.5,-68.5,b'',6.3008423
-89.5,-67.5,b'',6.29443
-89.5,-66.5,b'',6.295848
-89.5,-65.5,b'',6.290092
-89.5,-64.5,b'',6.2931643
-89.5,-63.5,b'',6.30182
-89.5,-62.5,b'',6.3013873
-89.5,-61.5,b'',6.302694
-89.5,-60.5,b'',6.303414
-89.5,-59.5,b'',6.307386
-89.5,-58.5,b'',6.3146462
-89.5,-57.5,b'',6.309911
-89.5,-56.5,b'',6.3128624
-89.5,-55.5,b'',6.312066
-89.5,-54.5,b'',6.314314
-89.5,-53.5,b'',6.3179417
-89.5,-52.5,b'',6.322515
-89.5,-51.5,b'',6.3256984
-89.5,-50.5,b'',6.32596
-89.5,-49.5,b'',6.322085
-89.5,-48.5,b'',6.3170238
-89.5,-47.5,b'',6.3138857
-89.5,-46.5,b'',6.3234243
-89.5,-45.5,b'',6.3231626
-89.5,-44.5,b'',6.323602
-89.5,-43.5,b'',6.326521
-89.5,-42.5,b'',6.326362
-89.5,-41.5,b'',6.3263307
-89.5,-40.5,b'',6.3292007
-89.5,-39.5,b'',6.330511
-89.5,-38.5,b'',6.3312864
